timestamp,deveui,lat,lon,battery,state,speed_ms,heading_deg,success,protocol,detail,latency_ms
2026-04-15T16:25:19.891187,54524F50494C0084,-31.326079,-63.5233918,79.39,grazing,0.0,0.0,False,HTTP,"Connection refused: HTTPConnectionPool(host='https', port=80): Max retries exceeded with url: /www.layerzero.com.ar/tropillatrack/public_html/tropillatrack/api/lns/uplink (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x78289c3bb130>: Failed to resolve 'https' ([Errno -3] Temporary failure in name resolution)""))",1533.2
2026-04-15T16:25:21.468452,54524F50494C0008,-31.3344151,-63.5316884,89.48,grazing,0.0,0.0,False,HTTP,"Connection refused: HTTPConnectionPool(host='https', port=80): Max retries exceeded with url: /www.layerzero.com.ar/tropillatrack/public_html/tropillatrack/api/lns/uplink (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x78289a1b0050>: Failed to resolve 'https' ([Errno -3] Temporary failure in name resolution)""))",1525.4
2026-04-15T16:25:22.992518,54524F50494C001F,-31.3228326,-63.552923,98.67,walking,0.0,0.0,False,HTTP,"Connection refused: HTTPConnectionPool(host='https', port=80): Max retries exceeded with url: /www.layerzero.com.ar/tropillatrack/public_html/tropillatrack/api/lns/uplink (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x78289a1b1bf0>: Failed to resolve 'https' ([Errno -3] Temporary failure in name resolution)""))",1523.7
2026-04-15T16:25:24.515116,54524F50494C0033,-31.3092265,-63.5426378,84.0,grazing,0.0,0.0,False,HTTP,"Connection refused: HTTPConnectionPool(host='https', port=80): Max retries exceeded with url: /www.layerzero.com.ar/tropillatrack/public_html/tropillatrack/api/lns/uplink (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x78289a1b1590>: Failed to resolve 'https' ([Errno -3] Temporary failure in name resolution)""))",1521.1
2026-04-15T16:25:26.064107,54524F50494C005C,-31.3191556,-63.5400313,94.55,walking,0.0,0.0,False,HTTP,"Connection refused: HTTPConnectionPool(host='https', port=80): Max retries exceeded with url: /www.layerzero.com.ar/tropillatrack/public_html/tropillatrack/api/lns/uplink (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x78289c3bb680>: Failed to resolve 'https' ([Errno -3] Temporary failure in name resolution)""))",1551.1
2026-04-15T16:25:37.271735,54524F50494C0006,-31.3178529,-63.5240994,97.91,grazing,0.249,3.0,False,HTTP,"Connection refused: HTTPConnectionPool(host='https', port=80): Max retries exceeded with url: /www.layerzero.com.ar/tropillatrack/public_html/tropillatrack/api/lns/uplink (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x78289a1b1480>: Failed to resolve 'https' ([Errno -3] Temporary failure in name resolution)""))",1524.8
2026-04-15T16:25:38.776105,54524F50494C0016,-31.3207452,-63.5461212,87.82,grazing,0.251,69.3,False,HTTP,"Connection refused: HTTPConnectionPool(host='https', port=80): Max retries exceeded with url: /www.layerzero.com.ar/tropillatrack/public_html/tropillatrack/api/lns/uplink (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x78289a1b1040>: Failed to resolve 'https' ([Errno -3] Temporary failure in name resolution)""))",1521.5
2026-04-15T16:25:40.300078,54524F50494C001A,-31.3275919,-63.5517578,87.4,grazing,0.233,315.1,False,HTTP,"Connection refused: HTTPConnectionPool(host='https', port=80): Max retries exceeded with url: /www.layerzero.com.ar/tropillatrack/public_html/tropillatrack/api/lns/uplink (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x78289a1b0380>: Failed to resolve 'https' ([Errno -3] Temporary failure in name resolution)""))",1523.3
2026-04-15T16:25:41.844078,54524F50494C001B,-31.3137968,-63.5315417,79.97,grazing,0.061,45.5,False,HTTP,"Connection refused: HTTPConnectionPool(host='https', port=80): Max retries exceeded with url: /www.layerzero.com.ar/tropillatrack/public_html/tropillatrack/api/lns/uplink (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x78289a1b2690>: Failed to resolve 'https' ([Errno -3] Temporary failure in name resolution)""))",1535.7
2026-04-15T16:25:43.366168,54524F50494C001D,-31.3251322,-63.5539224,75.42,grazing,0.093,31.0,False,HTTP,"Connection refused: HTTPConnectionPool(host='https', port=80): Max retries exceeded with url: /www.layerzero.com.ar/tropillatrack/public_html/tropillatrack/api/lns/uplink (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x78289c3bb790>: Failed to resolve 'https' ([Errno -3] Temporary failure in name resolution)""))",1527.7
2026-04-15T16:25:44.888201,54524F50494C0021,-31.3103601,-63.5438673,84.99,grazing,0.09,36.3,False,HTTP,"Connection refused: HTTPConnectionPool(host='https', port=80): Max retries exceeded with url: /www.layerzero.com.ar/tropillatrack/public_html/tropillatrack/api/lns/uplink (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x78289a1b2580>: Failed to resolve 'https' ([Errno -3] Temporary failure in name resolution)""))",1521.5
2026-04-15T16:25:46.412828,54524F50494C002E,-31.3082807,-63.5463724,82.21,walking,0.354,58.7,False,HTTP,"Connection refused: HTTPConnectionPool(host='https', port=80): Max retries exceeded with url: /www.layerzero.com.ar/tropillatrack/public_html/tropillatrack/api/lns/uplink (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x78289a1b0160>: Failed to resolve 'https' ([Errno -3] Temporary failure in name resolution)""))",1524.9
